word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,0,398,374,7.8994,True,"...gns of a struggler there was nothing on her hands to indicate a struggle, but the room was in terrible confusion. with bottles and a plantpot broken, sugar strewn abu"
sugar,1900,0,398,375,7.9177,True,"a. sugar box. e first obtain from the grocer a tube sugar box, avbich will coat not more than fqurpence. the greater portion of the top of this box is removed..."
sugar,1900,0,398,378,7.9968,True,"...)- a toothsome dainty is almond nougat. blanch a quantity of sweet althonds and mince them, not too finely. take an equal quantity in weight of brown sugar, put the two into a sugar boiler and stir"
sugar,1900,0,398,379,8.0172,True,"sugar plums. please, mr photo-man, be quick; i want my mummy dear; she promised she would not be long if i would sit still here. she said i must not turn m..."
sugar,1900,0,398,380,8.2704,True,"sugar plums. please, mr photoman, be quick.. i want my mummy, dear; she promieecl she would not be long, if i would sit still here. she said i must not tur..."
sugar,1900,0,398,384,8.3813,True,"sugar plums. please, mr photoman, be quick.. i want my mummy, dear; she promieecl she would not be long, if i would sit still here. she said i must not tur..."
sugar,1900,0,398,387,8.4501,True,"postsmen i—adviee for the coming flat—racing season. k.. 7 —o. clarkson, 5 sugar loaf court, london,"
sugar,1900,0,398,388,8.4836,True,"sugar plums. please, mr photoman, be quick.. i want my mummy, dear; she promieecl she would not be long, if i would sit still here. she said i must not tur..."
sugar,1900,0,398,389,8.6121,True,"u,s-r ip i.iteneni .4: father six, mother of the bride. eible silver, silver teapot. sugar hivan, cream jng. slid old hire. father and nio:ber of the bridegroom, imirtieulars not to band.. e. ilimenau"
sugar,1900,0,398,392,8.8302,True,"sugar plums. please, mr photo-man, be quick; i want my mummy dear; she promised she would not be long if i would sit still here. she said i must not turn m..."
sugar,1900,0,398,393,8.9309,True,"for the thousstau. at the birkenhead police o;art on monday margaret owen was charged with stealing various articles of linen, silver sugar tongs, &c., the property of william moseley mellor, of 16, d"
sugar,1900,0,398,395,9.5779,True,"...p ""greys"" at work' and ""play (by our abergavenny corrffpondeno. abergavenny, thursday. on tuesday the birkenhead and other battalions went out to the sugar loaf for battalion exerci"
sugar,1900,0,398,397,10.9118,True,"""the sate of wales."" on one side being the celebrated sugar loaf while on the other is the blorenge mona- tain, the town seemingly guarding the way to the famed pass of bwlch, which forms the recognis"
sugar,1900,0,398,398,11.1141,True,"""the sate of wales."" on one side being the celebrated sugar loaf while on the other is the blorenge mona- tain, the town seemingly guarding the way to the famed pass of bwlch, which forms the recognis"
sugar,1900,1,1750,80,4.1375,True,"rose-!.::nk teas. save the mothers. dresses, cushions, cakes, and j ""yes,"" adds miss gregory? sugar to match. '` and the children."" col cur-blending is ail art to thy com plete mastery of which societ"
sugar,1900,1,1750,118,4.2304,True,"sugar now less d. per lb. al' wri, warn parker. s. 11, market place, ripon. esraßustied 181.. _ grandidge's 61: tn.dai 1 il,i,e) luiglt non; 11%:iliouittbe..."
sugar,1900,1,1750,133,4.2679,True,"sugar niunties. tonight, therefore, he would like to knell for a bort t hoe opon the illiusseis ('onvention—lap- plause)—that iv's the ciniventiou that had..."
sugar,1900,1,1750,172,4.3554,True,"lancaster catering company. annual martino. dlyidend 11,11-rted by the sugar t.tx. the annual meet.ng of the leat.r cater- ing and restaurant co., ltd., vi. held .0 friday last in the plasma rooms lan"
sugar,1900,1,1750,187,4.3795,True,".vhiskey and buckets of burnt sugar. the nationalist m.p. for kerry. in either as ""childlike and bland"" as the heath tn chime appeared to be, cr someone has been hi, ""in approved transa..."
sugar,1900,1,1750,198,4.4076,True,"...able knives. 6 tab] 6 dessert knives, 6 forks, 6 dessert. s!,ooru spoons, 6 egg sp(10,11,1, spoons, 9 salt spoons tard spoons, 1 altaic •poon, 1 pair sugar ton, i pi"
sugar,1900,1,1750,281,4.5473,True,sugar khk.ps dear.—advt. town council. the monthly meeting of the town council will be held on tuesday evening at six o'clock in the town hall-. special re...
sugar,1900,1,1750,318,4.622,True,"sugar is dearer.—advt. death of mrs. litton. the we regret to annbunce that mrs. litton, a, uplands, moore, died yesterday morning after a illness. the dec..."
sugar,1900,1,1750,325,4.6389,True,"colonel foster on '• sugar."" colonel foster, who met with a hearty re- ception, prefaced his remarks with the inti- mation that he did not intend to speak at any length. they w..."
sugar,1900,1,1750,365,4.704,True,"colonel foster on '• sugar."" colonel foster, who met with a hearty re- ception, prefaced his remarks with the inti- mation that he did not intend to speak at any length. they w..."
sugar,1900,1,1750,401,4.7602,True,"rev. herbert dunnico., miss marshall, sugar and cream misses birtles, picture misses hodgkinson, afternoon tea cloth mr. and mrs. brough, pair of silver vases dr. and mrs. bennett, afternoon te..."
sugar,1900,1,1750,421,4.7981,True,"sugar now less id. per lb. at william parker's, 11, market place, ripon. lisranusiuti 1815. and ciculating, in masham, thirsk, harrogate, knaresherough, bo..."
sugar,1900,1,1750,436,4.816,True,"vt alt mth and strp.notii. the most valuable parts of fo 4 are pro- tein, fat, march, and sugar. tb se all help 0 stoke up the body, keep it varn. ant give the power of doing work but they cannot do t"
sugar,1900,1,1750,437,4.8164,True,"... space this week we have bee."" reluctantly compelled to omit reports of the meetings of the bands association and stockton heath parochial committee. sugar "
sugar,1900,1,1750,452,4.8367,True,"february 25, 1905 thirsk & maltoji seat. mr j. j. brigg and the sugar convention. mr j. j. brigg, pri spective liberal candidate for the '1 beak and maltou on monday addrersed & pubhe meet- ing in the"
sugar,1900,1,1750,462,4.8446,True,"rules for the boduotion of flesh. avoid all starchy and sweetened food, all cereals, vegetables containing sugar or starch, such as peas, beans, corn, potatoes, etc. have your bread toasted —sprinkle "
sugar,1900,1,1750,479,4.8702,True,"were then placed with the lancaster cater- i also, and the sugar basis passes round again i bible sunday. 1 in tkimpany to supply breakfasts of oat- i and yet again. • meal porridge and milk to the ch"
sugar,1900,1,1750,488,4.8801,True,"science notes and gleanings. sugar an!) fasting animals. experiments by protease.- ugolino wee°, university of genoa, show that sugar rises the temperature of a fastimr animal. '1 he t..."
sugar,1900,1,1750,494,4.8872,True,sugar keeps dear. music in the park. the band of the ist volunteer battalion (p.w.v.) south lancashire regiment will play in the park to-morrow (sunday). t...
sugar,1900,1,1750,496,4.8894,True,"sugar now less ;d. per lb. a t fitilliam, parker's. 11, market place, ripon. established ibls. grandidge's /aar bilge s i i i hr.. f.rtlel. 13 we rk. fl ii..."
sugar,1900,1,1750,510,4.909,True,"february 25, 1905 thirsk & maltoji seat. mr j. j. brigg and the sugar convention. mr j. j. brigg, pri spective liberal candidate for the '1 beak and maltou on monday addrersed & pubhe meet- ing in the"
